82.240677
cost = 0.876604, w= 2.382231
cost = 0.855666, w= 2.377639
cost = 0.835228, w= 2.373101
cost = 0.815278, w= 2.368619
cost = 0.795804, w= 2.364189
cost = 0.776795, w= 2.359814
cost = 0.758240, w= 2.355490
cost = 0.740127, w= 2.351219
cost = 0.722448, w= 2.346998
cost = 0.705190, w= 2.342829
cost = 0.688345, w= 2.338710
cost = 0.671901, w= 2.334639
cost = 0.655849, w= 2.330618
cost = 0.640181, w= 2.326645
cost = 0.624888, w= 2.322720
cost = 0.609958, w= 2.318841
cost = 0.595386, w= 2.315010
cost = 0.581161, w= 2.311224
cost = 0.567275, w= 2.307483
cost = 0.553722, w= 2.303788
cost = 0.540492, w= 2.300137
cost = 0.527578, w= 2.296529
cost = 0.514972, w= 2.292965
cost = 0.502667, w= 2.289444
cost = 0.490656, w= 2.285965
cost = 0.478931, w= 2.282528
cost = 0.467486, w= 2.279131
cost = 0.456315, w= 2.275776
cost = 0.445411, w= 2.272461
cost = 0.434767, w= 2.269186
cost = 0.424376, w= 2.265950
cost = 0.414233, w= 2.262753
cost = 0.404333, w= 2.259594
cost = 0.394669, w= 2.256473
cost = 0.385236, w= 2.253389
cost = 0.376028, w= 2.250342
cost = 0.367040, w= 2.247333
cost = 0.358267, w= 2.244359
cost = 0.349703, w= 2.241421
cost = 0.341344, w= 2.238518
cost = 0.333184, w= 2.235649
cost = 0.325220, w= 2.232816
cost = 0.317445, w= 2.230016
cost = 0.309856, w= 2.227250
cost = 0.302449, w= 2.224518
cost = 0.295218, w= 2.221817
cost = 0.288160, w= 2.219150
cost = 0.281271, w= 2.216514
cost = 0.274546, w= 2.213910
cost = 0.267981, w= 2.211338
cost = 0.261574, w= 2.208796
cost = 0.255320, w= 2.206285
cost = 0.249215, w= 2.203803
cost = 0.243255, w= 2.201352
cost = 0.237438, w= 2.198930
cost = 0.231760, w= 2.196537
cost = 0.226217, w= 2.194172
cost = 0.220807, w= 2.191836
cost = 0.215526, w= 2.189528
cost = 0.210371, w= 2.187248
cost = 0.205340, w= 2.184995
cost = 0.200428, w= 2.182770
cost = 0.195634, w= 2.180570
cost = 0.190954, w= 2.178398
cost = 0.186386, w= 2.176251
cost = 0.181927, w= 2.174130
cost = 0.177575, w= 2.172035
cost = 0.173327, w= 2.169964
cost = 0.169181, w= 2.167919
cost = 0.165133, w= 2.165898
cost = 0.161182, w= 2.163901
cost = 0.157325, w= 2.161929
cost = 0.153561, w= 2.159980
cost = 0.149886, w= 2.158054
cost = 0.146299, w= 2.156151
cost = 0.142798, w= 2.154272
cost = 0.139381, w= 2.152415
cost = 0.136046, w= 2.150580
cost = 0.132790, w= 2.148767
cost = 0.129612, w= 2.146976
cost = 0.126509, w= 2.145206
cost = 0.123481, w= 2.143458
cost = 0.120526, w= 2.141731
cost = 0.117641, w= 2.140024
cost = 0.114825, w= 2.138338
cost = 0.112076, w= 2.136672
cost = 0.109393, w= 2.135026
cost = 0.106774, w= 2.133400
cost = 0.104217, w= 2.131793
cost = 0.101722, w= 2.130206
cost = 0.099286, w= 2.128638
cost = 0.096909, w= 2.127088
cost = 0.094588, w= 2.125557
cost = 0.092322, w= 2.124045
cost = 0.090111, w= 2.122550
cost = 0.087953, w= 2.121074
cost = 0.085846, w= 2.119615
cost = 0.083790, w= 2.118174
cost = 0.081783, w= 2.116750
cost = 0.079824, w= 2.115343
cost = 0.077911, w= 2.113953
cost = 0.076045, w= 2.112579
cost = 0.074223, w= 2.111223
cost = 0.072444, w= 2.109882
cost = 0.070708, w= 2.108557
cost = 0.069014, w= 2.107249
cost = 0.067360, w= 2.105956
cost = 0.065745, w= 2.104678
cost = 0.064170, w= 2.103416
cost = 0.062632, w= 2.102170
cost = 0.061130, w= 2.100938
cost = 0.059665, w= 2.099720
cost = 0.058235, w= 2.098518
cost = 0.056839, w= 2.097330
cost = 0.055476, w= 2.096156
cost = 0.054145, w= 2.094996
cost = 0.052847, w= 2.093850
cost = 0.051580, w= 2.092718
cost = 0.050343, w= 2.091600
cost = 0.049136, w= 2.090495
cost = 0.047957, w= 2.089403
cost = 0.046807, w= 2.088324
cost = 0.045684, w= 2.087258
cost = 0.044588, w= 2.086205
cost = 0.043518, w= 2.085165
cost = 0.042474, w= 2.084137
cost = 0.041455, w= 2.083121
cost = 0.040460, w= 2.082118
cost = 0.039489, w= 2.081126
cost = 0.038541, w= 2.080147
cost = 0.037616, w= 2.079179
cost = 0.036713, w= 2.078223
cost = 0.035832, w= 2.077278
cost = 0.034972, w= 2.076345
cost = 0.034132, w= 2.075423
cost = 0.033312, w= 2.074512
cost = 0.032512, w= 2.073612
cost = 0.031732, w= 2.072723
cost = 0.030969, w= 2.071844
cost = 0.030226, w= 2.070976
cost = 0.029500, w= 2.070118
cost = 0.028791, w= 2.069271
cost = 0.028099, w= 2.068434
cost = 0.027424, w= 2.067607
cost = 0.026765, w= 2.066790
cost = 0.026122, w= 2.065982
cost = 0.025494, w= 2.065184
cost = 0.024881, w= 2.064396
cost = 0.024283, w= 2.063617
cost = 0.023699, w= 2.062848
cost = 0.023130, w= 2.062088
cost = 0.022573, w= 2.061337
cost = 0.022031, w= 2.060595
cost = 0.021501, w= 2.059862
cost = 0.020984, w= 2.059138
cost = 0.020479, w= 2.058422
cost = 0.019986, w= 2.057715
cost = 0.019505, w= 2.057017
cost = 0.019036, w= 2.056326
cost = 0.018578, w= 2.055645
cost = 0.018131, w= 2.054971
cost = 0.017694, w= 2.054305
cost = 0.017268, w= 2.053648
cost = 0.016853, w= 2.052998
cost = 0.016447, w= 2.052356
cost = 0.016051, w= 2.051722
cost = 0.015664, w= 2.051095
cost = 0.015287, w= 2.050476
cost = 0.014919, w= 2.049864
cost = 0.014559, w= 2.049260
cost = 0.014208, w= 2.048663
cost = 0.013866, w= 2.048073
cost = 0.013532, w= 2.047490
cost = 0.013206, w= 2.046915
cost = 0.012888, w= 2.046346
cost = 0.012577, w= 2.045784
cost = 0.012274, w= 2.045228
cost = 0.011978, w= 2.044680
cost = 0.011689, w= 2.044137
cost = 0.011407, w= 2.043602
cost = 0.011131, w= 2.043072
cost = 0.010863, w= 2.042550
cost = 0.010601, w= 2.042033
cost = 0.010345, w= 2.041523
cost = 0.010095, w= 2.041018
cost = 0.009851, w= 2.040520
cost = 0.009613, w= 2.040028
cost = 0.009381, w= 2.039541
